Station_Id_C,Lon,Lat,Alti,Station_levl,Province,City,Cnty,Country,ProvinceCode,CityCode,CntyCode
895831,85.01,43.32,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895832,85.35,40.96,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,尉犁县,中国,650000,652800,652823
895834,87.89,40.47,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,尉犁县,中国,650000,652800,652823
895835,88.23,39.29,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895837,84.94,38.18,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,且末县,中国,650000,652800,652825
895839,85.47,37.35,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,且末县,中国,650000,652800,652825
895840,86.69,42.93,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895841,84.22,39.89,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,且末县,中国,650000,652800,652825
895843,85.51,43.13,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895844,85.26,42.91,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895846,82.95,39.49,0.0,14,新疆维吾尔自治区,阿克苏地区,沙雅县,中国,650000,652900,652924
895847,88.19,38.35,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895849,85.83,41.42,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,中国,650000,652800,652801
895850,85.46,41.98,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,中国,650000,652800,652801
895854,85.31,43.22,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895858,88.19,38.72,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895860,88.37,38.52,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895861,87.62,38.45,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895862,88.83,38.99,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895864,88.34,38.92,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895865,85.82,42.42,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895866,86.26,42.62,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895869,85.42,42.35,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895871,90.21,39.02,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895872,90.09,38.29,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895874,85.96,41.84,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,中国,650000,652800,652801
895880,87.03,41.69,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,博湖县,中国,650000,652800,652829
895882,87.57,42.5,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和硕县,中国,650000,652800,652828
895883,86.96,42.32,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和硕县,中国,650000,652800,652828
895889,86.28,41.84,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,中国,650000,652800,652801
895891,86.31,41.71,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,中国,650000,652800,652801
895896,84.64,42.08,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895897,84.86,42.07,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895898,85.16,42.05,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895899,84.04,41.9,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895901,80.43,40.82,0.0,14,新疆维吾尔自治区,阿克苏地区,阿克苏市,中国,650000,652900,652901
895902,81.19,41.85,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895904,80.22,40.93,0.0,14,新疆维吾尔自治区,阿克苏地区,阿克苏市,中国,650000,652900,652901
895905,83.24,42.24,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895906,80.54,41.11,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895907,79.7,41.22,0.0,14,新疆维吾尔自治区,阿克苏地区,乌什县,中国,650000,652900,652927
895908,83.84,41.82,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895910,82.45,41.83,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895911,83.84,41.13,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895913,83.21,41.74,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895915,79.33,40.47,0.0,14,新疆维吾尔自治区,阿克苏地区,柯坪县,中国,650000,652900,652929
895916,80.17,40.84,0.0,14,新疆维吾尔自治区,阿克苏地区,阿瓦提县,中国,650000,652900,652928
895918,83.2,41.07,0.0,14,新疆维吾尔自治区,阿克苏地区,沙雅县,中国,650000,652900,652924
895921,81.31,41.62,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895922,81.76,41.67,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895923,82.62,42.17,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895924,82.08,41.76,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895925,79.7,41.59,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895944,79.79,41.08,0.0,14,新疆维吾尔自治区,阿克苏地区,乌什县,中国,650000,652900,652927
895945,78.73,41.17,0.0,14,新疆维吾尔自治区,阿克苏地区,乌什县,中国,650000,652900,652927
895948,80.31,41.36,0.0,14,新疆维吾尔自治区,阿克苏地区,阿克苏市,中国,650000,652900,652901
895949,80.29,41.5,0.0,14,新疆维吾尔自治区,阿克苏地区,阿克苏市,中国,650000,652900,652901
895950,79.98,40.93,0.0,14,新疆维吾尔自治区,阿克苏地区,阿克苏市,中国,650000,652900,652901
895953,79.12,40.72,0.0,14,新疆维吾尔自治区,阿克苏地区,柯坪县,中国,650000,652900,652929
895955,79.31,40.63,0.0,14,新疆维吾尔自治区,阿克苏地区,柯坪县,中国,650000,652900,652929
895959,79.81,41.53,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895960,80.0,41.49,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895961,80.41,41.67,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895962,82.52,42.25,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895963,81.94,41.7,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895964,81.99,41.87,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895965,81.03,41.82,0.0,14,新疆维吾尔自治区,阿克苏地区,拜城县,中国,650000,652900,652926
895970,83.03,42.24,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895971,83.0,41.96,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895972,83.06,42.11,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895973,83.18,41.85,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895976,83.53,41.78,0.0,14,新疆维吾尔自治区,阿克苏地区,库车市,中国,650000,652900,652902
895977,82.42,41.63,0.0,14,新疆维吾尔自治区,阿克苏地区,新和县,中国,650000,652900,652925
895987,79.9,41.3,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895988,80.73,41.77,0.0,14,新疆维吾尔自治区,阿克苏地区,温宿县,中国,650000,652900,652922
895993,79.04,41.12,0.0,14,新疆维吾尔自治区,阿克苏地区,乌什县,中国,650000,652900,652927
895998,79.44,41.07,0.0,14,新疆维吾尔自治区,阿克苏地区,乌什县,中国,650000,652900,652927
896051,74.95,38.65,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896057,76.17,40.03,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,中国,650000,653000,653001
896059,76.06,40.2,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,中国,650000,653000,653001
896060,76.64,40.04,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,中国,650000,653000,653001
896061,74.09,39.83,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896062,74.78,39.65,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896063,75.81,40.01,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896065,75.4,40.1,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896066,74.34,39.83,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896067,75.03,39.72,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896068,77.91,40.82,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿合奇县,中国,650000,653000,653023
896069,78.16,40.86,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿合奇县,中国,650000,653000,653023
896070,78.75,41.04,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿合奇县,中国,650000,653000,653023
896075,78.64,40.96,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿合奇县,中国,650000,653000,653023
896076,75.94,38.03,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896077,76.03,37.94,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896078,75.23,38.9,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896079,74.48,38.99,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896082,75.73,38.95,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896084,75.31,38.78,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896091,77.27,40.21,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,中国,650000,653000,653001
896094,75.25,40.21,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896096,74.98,39.32,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896097,74.56,40.02,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,中国,650000,653000,653024
896102,77.0,38.24,0.0,14,新疆维吾尔自治区,喀什地区,莎车县,中国,650000,653100,653125
896103,77.54,38.33,0.0,14,新疆维吾尔自治区,喀什地区,莎车县,中国,650000,653100,653125
